Weight,Length1,Length2,Length3,Height,Width
5.9,7.5,8.4,8.8,2.112,1.408
32,12.5,13.7,14.7,3.528,1.9992
40,13.8,15,16,3.824,2.432
51.5,15,16.2,17.2,4.5924,2.6316
70,15.7,17.4,18.5,4.588,2.9415
100,16.2,18,19.2,5.2224,3.3216
78,16.8,18.7,19.4,5.1992,3.1234
80,17.2,19,20.2,5.6358,3.0502
85,17.8,19.6,20.8,5.1376,3.0368
85,18.2,20,21,5.082,2.772
110,19,21,22.5,5.6925,3.555
115,19,21,22.5,5.9175,3.3075
125,19,21,22.5,5.6925,3.6675
130,19.3,21.3,22.8,6.384,3.534
120,20,22,23.5,6.11,3.4075
120,20,22,23.5,5.64,3.525
130,20,22,23.5,6.11,3.525
135,20,22,23.5,5.875,3.525
110,20,22,23.5,5.5225,3.995
130,20.5,22.5,24,5.856,3.624
150,20.5,22.5,24,6.792,3.624
145,20.7,22.7,24.2,5.9532,3.63
150,21,23,24.5,5.2185,3.626
170,21.5,23.5,25,6.275,3.725
225,22,24,25.5,7.293,3.723
145,22,24,25.5,6.375,3.825
188,22.6,24.6,26.2,6.7334,4.1658
180,23,25,26.5,6.4395,3.6835
197,23.5,25.6,27,6.561,4.239
218,25,26.5,28,7.168,4.144
300,25.2,27.3,28.7,8.323,5.1373
260,25.4,27.5,28.9,7.1672,4.335
265,25.4,27.5,28.9,7.0516,4.335
250,25.4,27.5,28.9,7.2828,4.5662
250,25.9,28,29.4,7.8204,4.2042
300,26.9,28.7,30.1,7.5852,4.6354
320,27.8,30,31.6,7.6156,4.7716
514,30.5,32.8,34,10.03,6.018
556,32,34.5,36.5,10.2565,6.3875
840,32.5,35,37.3,11.4884,7.7957
685,34,36.5,39,10.881,6.864
700,34,36,38.3,10.6091,6.7408
700,34.5,37,39.4,10.835,6.2646
690,34.6,37,39.3,10.5717,6.3666
900,36.5,39,41.4,11.1366,7.4934
650,36.5,39,41.4,11.1366,6.003
820,36.6,39,41.3,12.4313,7.3514
850,36.9,40,42.3,11.9286,7.1064
900,37,40,42.5,11.73,7.225
1015,37,40,42.4,12.3808,7.4624
820,37.1,40,42.5,11.135,6.63
1100,39,42,44.6,12.8002,6.8684
1000,39.8,43,45.2,11.9328,7.2772
1100,40.1,43,45.5,12.5125,7.4165
1000,40.2,43.5,46,12.604,8.142
1000,41.1,44,46.6,12.4888,7.5958
